Date	Contract	Units	$Volume	LowPrice	HighPrice	AvgPrice	LastPrice	
09/04/00	Reform	232	1.147	0.004	0.005	0.005	0.005	0.009560229446
09/04/00	Rep	627	309.452	0.487	0.499	0.494	0.49	0.9881188119
09/05/00	Dem	656	332.57	0.5	0.518	0.507	0.511	0.5108481262
09/05/00	Reform	301	1.553	0.005	0.006	0.005	0.005	0.009900990099
09/05/00	Rep	580	282.832	0.474	0.496	0.488	0.478	0.9880478088
09/06/00	Dem	590	322.189	0.511	0.6	0.546	0.533	0.5514705882
09/06/00	Reform	157	0.718	0.003	0.006	0.005	0.004	0.0101010101
09/06/00	Rep	414	192.836	0.458	0.488	0.466	0.469	0.9898580122
09/07/00	Dem	1,319	746.042	0.543	0.588	0.566	0.56	0.5505617978
09/07/00	Reform	878	3.082	0.002	0.005	0.004	0.002	0.008210180624
09/07/00	Rep	2,287	1,031.96	0.427	0.48	0.451	0.438	0.9937888199
09/08/00	Dem	1,448	842.84	0.547	0.604	0.582	0.576	0.5790987536
09/08/00	Reform	69	0.15	0.002	0.003	0.002	0.003	0.005190311419
09/08/00	Rep	871	378.067	0.426	0.439	0.434	0.432	0.9932126697
09/09/00	Dem	404	230.584	0.562	0.575	0.571	0.562	0.567061144
09/09/00	Reform	366	0.822	0.002	0.003	0.002	0.003	0.005244755245
09/09/00	Rep	612	263.759	0.424	0.439	0.431	0.439	0.9932126697
09/10/00	Dem	357	199.714	0.547	0.569	0.559	0.551	0.558390579
09/10/00	Reform	1,360	2.77	0.002	0.003	0.002	0.002	0.004983388704
09/10/00	Rep	188	83.616	0.44	0.45	0.445	0.449	0.9933774834
09/11/00	Dem	1,197	692.269	0.553	0.599	0.578	0.585	0.5737547893
09/11/00	Reform	391	0.792	0.002	0.003	0.002	0.002	0.004983388704
09/11/00	Rep	742	322.743	0.426	0.445	0.435	0.426	0.9933035714
09/12/00	Dem	999	586.843	0.57	0.599	0.587	0.574	0.5754082613
09/12/00	Reform	946	1.914	0.002	0.003	0.002	0.002	0.004983388704
09/12/00	Rep	761	322.723	0.41	0.442	0.424	0.419	0.9954954955
09/13/00	Dem	532	314.614	0.575	0.599	0.591	0.595	0.5781853282
09/13/00	Reform	686	1.372	0.002	0.002	0.002	0.002	0.003189792663
09/13/00	Rep	1,136	460.181	0.395	0.437	0.405	0.401	0.9931818182
09/14/00	Dem	1,599	974.139	0.591	0.625	0.609	0.62	0.5998080614
09/14/00	Reform	244	0.489	0.002	0.003	0.002	0.002	0.004594180704
09/14/00	Rep	734	289.27	0.36	0.417	0.394	0.382	0.9928571429
09/15/00	Dem	1,450	932.641	0.623	0.65	0.643	0.65	0.6262042389
09/15/00	Reform	1,737	4.97	0.002	0.003	0.003	0.003	0.004424778761
09/15/00	Rep	1,596	581.482	0.351	0.388	0.364	0.37	0.9923273657
09/16/00	Dem	290	187.358	0.62	0.675	0.646	0.67	0.6398104265
09/16/00	Reform	1,387	1.774	0.001	0.003	0.001	0.003	0.004552352049
09/16/00	Rep	1,335	491.519	0.325	0.38	0.368	0.375	0.9921671018
09/17/00	Dem	72	47.123	0.644	0.656	0.654	0.656	0.6488625124
09/17/00	Reform	707	1.414	0.002	0.003	0.002	0.002	0.003994673768
09/17/00	Rep	599	198.788	0.305	0.355	0.332	0.342	0.9916201117
09/18/00	Dem	1,436	1,008.28	0.668	0.748	0.702	0.718	0.6887661142
09/18/00	Reform	349	0.638	0.001	0.003	0.002	0.001	0.004103967168
09/18/00	Rep	1,413	439.968	0.275	0.338	0.311	0.314	0.9941176471
09/19/00	Dem	1,737	1,200.95	0.67	0.728	0.691	0.699	0.6691176471
09/19/00	Reform	1,773	3.389	0.001	0.002	0.002	0.002	0.002857142857
09/19/00	Rep	734	239.427	0.282	0.36	0.326	0.324	0.989010989
09/20/00	Dem	1,438	934.879	0.605	0.698	0.65	0.605	0.6160635481
09/20/00	Reform	9,980	30.015	0.002	0.004	0.003	0.002	0.006230529595
09/20/00	Rep	2,228	808.563	0.32	0.435	0.363	0.39	0.9908883827
09/21/00	Dem	849	522.478	0.58	0.638	0.615	0.629	0.5973782772
09/21/00	Reform	1,171	3.488	0.002	0.004	0.003	0.003	0.006134969325
09/21/00	Rep	1,561	618.311	0.35	0.43	0.396	0.388	0.9907834101
09/22/00	Dem	347	212.272	0.604	0.648	0.612	0.606	0.6189111748
09/22/00	Reform	1,426	4.478	0.002	0.004	0.003	0.003	0.006451612903
09/22/00	Rep	1,103	431.229	0.376	0.399	0.391	0.391	0.9925373134
09/23/00	Dem	318	193.079	0.6	0.616	0.607	0.61	0.6068965517
09/23/00	Reform	297	0.758	0.002	0.003	0.003	0.002	0.00487012987
09/23/00	Rep	182	70.124	0.375	0.399	0.385	0.382	0.9925373134
09/24/00	Dem	1,149	673.582	0.58	0.613	0.586	0.58	0.5998043053
09/24/00	Reform	369	0.742	0.002	0.003	0.002	0.002	0.004926108374
09/24/00	Rep	328	132.326	0.385	0.409	0.403	0.409	0.99031477
09/25/00	Dem	1,596	931.118	0.575	0.606	0.583	0.588	0.5906432749
09/25/00	Reform	1,236	3.707	0.002	0.004	0.003	0.003	0.006688963211
09/25/00	Rep	1,563	647.452	0.407	0.42	0.414	0.417	0.9905660377
09/26/00	Dem	397	232.436	0.581	0.594	0.585	0.59	0.5744680851
09/26/00	Reform	4,441	17.443	0.002	0.004	0.004	0.002	0.006734006734
09/26/00	Rep	709	298.402	0.41	0.44	0.421	0.411	0.990990991
09/27/00	Dem	531	307.8	0.573	0.59	0.58	0.573	0.5767350929
09/27/00	Reform	659	2.162	0.003	0.004	0.003	0.003	0.006814310051
09/27/00	Rep	253	105.947	0.41	0.433	0.419	0.425	0.9908466819
09/28/00	Dem	548	315.75	0.565	0.583	0.576	0.58	0.5704500978
09/28/00	Reform	531	1.848	0.003	0.004	0.003	0.004	0.006633499171
09/28/00	Rep	371	156.278	0.41	0.439	0.421	0.428	0.9909706546
09/29/00	Dem	272	159.859	0.57	0.599	0.588	0.57	0.579303675
09/29/00	Reform	93	0.356	0.002	0.004	0.004	0.002	0.006968641115
09/29/00	Rep	935	394.284	0.42	0.435	0.422	0.425	0.9931506849
09/30/00	Dem	195	110.585	0.566	0.57	0.567	0.566	0.5539358601
09/30/00	Reform	187	0.375	0.002	0.003	0.002	0.002	0.005163511188
09/30/00	Rep	632	281.389	0.428	0.459	0.445	0.436	0.9935064935
10/01/00	Dem	238	135.023	0.566	0.578	0.567	0.578	0.5700197239
10/01/00	Reform	16	0.032	0.002	0.003	0.002	0.002	0.004784688995
10/01/00	Rep	115	48.296	0.396	0.436	0.42	0.396	0.993166287
10/02/00	Dem	644	384.653	0.569	0.624	0.597	0.611	0.5931558935
10/02/00	Reform	580	1.222	0.002	0.003	0.002	0.002	0.004594180704
10/02/00	Rep	544	222.716	0.396	0.428	0.409	0.396	0.9930394432
10/03/00	Dem	1,840	1,151.41	0.593	0.65	0.626	0.6	0.597976081
10/03/00	Reform	590	0.86	0.001	0.003	0.001	0.001	0.004531722054
10/03/00	Rep	4,427	1,734.28	0.346	0.437	0.392	0.38	0.9954441913
10/04/00	Dem	1,021	659.643	0.62	0.659	0.646	0.659	0.6423001949
10/04/00	Reform	554	0.579	0.001	0.002	0.001	0.001	0.002849002849
10/04/00	Rep	970	346.284	0.325	0.367	0.357	0.325	0.9945799458
10/05/00	Dem	1,228	830.258	0.641	0.7	0.676	0.68	0.6666666667
10/05/00	Reform	105	0.127	0.001	0.002	0.001	0.002	0.002915451895
10/05/00	Rep	1,340	429.308	0.3	0.35	0.32	0.31	0.9943181818
10/06/00	Dem	680	471.913	0.675	0.684	0.694	0.675	0.66796875
10/06/00	Reform	135	0.17	0.001	0.002	0.001	0.002	0.002919708029
10/06/00	Rep	2,186	684.032	0.32	0.34	0.313	0.338	0.9941520468
10/07/00	Dem	327	208.817	0.62	0.683	0.639	0.62	0.643126177
10/07/00	Reform	205	0.244	0.001	0.002	0.001	0.001	0.00296735905
10/07/00	Rep	1,360	477.047	0.338	0.379	0.351	0.379	0.9973684211
10/08/00	Dem	1,786	1,069.36	0.551	0.672	0.599	0.606	0.5989304813
10/08/00	Reform	31	0.031	0.001	0.001	0.001	0.001	0.001519756839
10/08/00	Rep	1,859	750.937	0.369	0.45	0.404	0.42	0.9955752212
10/09/00	Dem	1,913	1,105.04	0.558	0.657	0.578	0.58	0.5989061076
10/09/00	Reform	56	0.056	0.001	0.002	0.001	0.001	0.003189792663
10/09/00	Rep	1,407	607.679	0.369	0.44	0.432	0.44	0.9954751131
10/10/00	Dem	916	551.054	0.56	0.625	0.602	0.59	0.5824790308
10/10/00	Reform	500	0.5	0.001	0.002	0.001	0.001	0.003267973856
10/10/00	Rep	1,324	565.866	0.377	0.448	0.427	0.417	0.9955555556
10/11/00	Dem	1,386	810.125	0.551	0.61	0.585	0.552	0.5754716981
10/11/00	Reform	1,252	1.645	0.001	0.002	0.001	0.001	0.00350877193
10/11/00	Rep	3,624	1,529.99	0.411	0.45	0.422	0.449	0.9955752212
10/12/00	Dem	878	485.26	0.541	0.568	0.553	0.541	0.5477338476
10/12/00	Reform	330	0.39	0.001	0.002	0.001	0.001	0.003590664273
10/12/00	Rep	715	324.772	0.441	0.469	0.454	0.46	0.9957537155
10/13/00	Dem	377	205.19	0.535	0.555	0.544	0.535	0.5430528376
10/13/00	Reform	271	0.291	0.001	0.002	0.001	0.001	0.003533568905
10/13/00	Rep	419	193.169	0.45	0.467	0.461	0.461	0.9957356077
10/14/00	Dem	374	198.358	0.509	0.564	0.53	0.526	0.5402298851
10/14/00	Reform	311	0.312	0.001	0.002	0.001	0.001	0.003802281369
10/14/00	Rep	1,516	725.876	0.462	0.48	0.479	0.48	0.9958506224
10/15/00	Dem	180	92.349	0.506	0.524	0.513	0.516	0.5137254902
10/15/00	Reform	30	0.035	0.001	0.002	0.001	0.002	0.003846153846
10/15/00	Rep	295	144.802	0.48	0.496	0.491	0.493	0.9959839357
10/16/00	Dem	1,804	878.111	0.452	0.518	0.487	0.476	0.4739249771
10/16/00	Reform	666	0.668	0	0.002	0.001	0	0.003565062389
10/16/00	Rep	3,764	1,967.34	0.486	0.575	0.523	0.529	0.9982638889
10/17/00	Dem	3,380	1,696.37	0.473	0.559	0.502	0.516	0.508644222
10/17/00	Reform	359	0.257	0	0.001	0.001	0	0.001782531194
10/17/00	Rep	2,362	1,185.48	0.449	0.54	0.502	0.48	0.9981515712
10/18/00	Dem	2,502	1,316.93	0.5	0.56	0.526	0.52	0.5308056872
10/18/00	Reform	36	0.036	0	0.001	0.001	0.001	0.001919385797
10/18/00	Rep	446	214.695	0.468	0.495	0.481	0.49	0.997983871
10/19/00	Dem	1,625	794.534	0.47	0.52	0.489	0.479	0.4976076555
10/19/00	Reform	7	0.004	0	0.001	0.001	0	0.002036659878
10/19/00	Rep	1,753	895.818	0.485	0.525	0.511	0.524	0.9980988593
10/20/00	Dem	1,752	814.281	0.425	0.49	0.465	0.435	0.4622641509
10/20/00	Reform	5	0.001	0	0.001	0	0	0.002150537634
10/20/00	Rep	588	321.046	0.519	0.57	0.546	0.565	0.9982486865
10/21/00	Dem	1,866	752.168	0.301	0.464	0.403	0.4	0.4260789715
10/21/00	Reform	330	0.01	0	0.001	0	0	0.002403846154
10/21/00	Rep	1,335	780.322	0.536	0.625	0.585	0.623	1
10/22/00	Dem	1,285	480.686	0.335	0.415	0.374	0.371	0.3789954338
10/22/00	Reform	0	0	0	0		0	0
10/22/00	Rep	1,266	813.472	0.615	0.68	0.643	0.648	0.9985315712
10/23/00	Dem	4,712	1,773.72	0.35	0.448	0.376	0.401	0.3905841325
10/23/00	Reform	673	0.141	0	0.001	0	0	0.002150537634
10/23/00	Rep	3,661	2,344.40	0.58	0.699	0.64	0.617	0.9985714286
10/24/00	Dem	4,207	1,765.63	0.399	0.464	0.42	0.445	0.4165170557
10/24/00	Reform	279	0.273	0	0.001	0.001	0	0.002032520325
10/24/00	Rep	2,792	1,635.27	0.54	0.65	0.586	0.54	0.9984639017
10/25/00	Dem	3,205	1,486.79	0.42	0.491	0.464	0.432	0.4500458295
10/25/00	Reform	4,202	0.002	0	0.001	0	0	0.002247191011
10/25/00	Rep	2,066	1,115.07	0.5	0.6	0.54	0.579	0.9983361065
10/26/00	Dem	873	371.322	0.4	0.444	0.425	0.418	0.4256951103
10/26/00	Reform	349	0.348	0	0.001	0.001	0	0.002341920375
10/26/00	Rep	566	326.389	0.555	0.599	0.577	0.582	0.9983333333
10/27/00	Dem	582	237.322	0.386	0.426	0.408	0.387	0.4072657744
10/27/00	Reform	76	0.001	0	0.001	0	0	0.0025
10/27/00	Rep	423	252.813	0.574	0.62	0.598	0.62	0.998389694
10/28/00	Dem	1,555	518.999	0.251	0.399	0.334	0.287	0.3481675393
10/28/00	Reform	897	0.03	0	0.001	0	0	0.002808988764
10/28/00	Rep	1,329	878.009	0.619	0.747	0.661	0.681	0.9986631016
10/29/00	Dem	1,074	356.022	0.277	0.355	0.331	0.354	0.3400383142
10/29/00	Reform	292	0.1	0	0.001	0	0	0.002659574468
10/29/00	Rep	925	623.109	0.646	0.689	0.674	0.67	0.9985507246
10/30/00	Dem	2,352	838.334	0.315	0.375	0.356	0.375	0.3534401508
10/30/00	Reform	80	0.006	0	0.001	0	0	0.0025
10/30/00	Rep	1,083	707.91	0.61	0.686	0.654	0.61	0.9985443959
10/31/00	Dem	1,246	474.869	0.36	0.399	0.381	0.377	0.3858800774
10/31/00	Reform	1	0	0	0.001	0	0	0.002638522427
10/31/00	Rep	1,772	1,089.26	0.59	0.635	0.615	0.61	0.998427673
11/01/00	Dem	1,901	646.093	0.311	0.378	0.34	0.348	0.3555973659
11/01/00	Reform	120	0.1	0	0.001	0.001	0	0.002380952381
11/01/00	Rep	2,203	1,443.07	0.62	0.685	0.655	0.668	0.9985422741
11/02/00	Dem	6,423	2,183.94	0.25	0.419	0.34	0.39	0.3590402742
11/02/00	Reform	350	0.1	0	0.001	0	0	0.002631578947
11/02/00	Rep	2,749	1,824.77	0.585	0.748	0.664	0.625	1
11/03/00	Dem	3,270	1,051.32	0.298	0.379	0.322	0.298	0.3480257117
11/03/00	Reform	0	0	0	0		0	0
11/03/00	Rep	1,634	1,117.84	0.614	0.71	0.684	0.7	0.9985935302
11/04/00	Dem	4,946	1,174.45	0.18	0.318	0.237	0.289	0.272260274
11/04/00	Reform	886	0.743	0	0.001	0.001	0	0.003378378378
11/04/00	Rep	1,416	1,045.16	0.7	0.85	0.738	0.77	0.9988249119
11/05/00	Dem	1,891	516.756	0.232	0.295	0.273	0.295	0.2706422018
11/05/00	Reform	175	0.173	0	0.001	0.001	0.001	0.003067484663
11/05/00	Rep	2,238	1,677.19	0.7	0.795	0.749	0.73	0.9987437186
11/06/00	Dem	5,584	1,519.37	0.202	0.325	0.272	0.291	0.2954545455
11/06/00	Reform	995	0.969	0	0.001	0.001	0	0.001251564456
11/06/00	Rep	2,885	2,116.99	0.68	0.775	0.734	0.711	0.9987113402
11/07/00	Dem	10,259	3,371.75	0.105	0.798	0.329	0.14	0.4702416028
11/07/00	Reform	612	0.491	0	0.001	0.001	0.001	0.001024590164
11/07/00	Rep	8,564	5,693.81	0.02	0.899	0.665	0.7	0.9988888889
11/08/00	Dem	26,691	17,358.35	0.002	0.975	0.65	0.922	0.4949238579
11/08/00	Reform	7,601	5.616	0	0.001	0.001	0.001	0.001030927835
11/08/00	Rep	43,512	6,766.36	0.023	0.995	0.156	0.078	0.9989959839
11/09/00	Dem	4,952	4,671.81	0.894	0.969	0.943	0.95	0.8988868275
11/09/00	Reform	2,065	2.062	0	0.001	0.001	0	0.001019367992
11/09/00	Rep	10,055	542.973	0.025	0.109	0.054	0.05	0.9909090909
11/10/00	Dem	3,454	3,328.02	0.95	0.98	0.964	0.969	0.9324452902
11/10/00	Reform	23	0.02	0	0.001	0.001	0	1
11/10/00	Rep	3,519	148.171	0.02	0.071	0.042	0.031	1
